model,ens,exp,postprocess,table,grid,varn,period,mean
NorESM2-LM,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2021-2040,1.05
NorESM2-MM,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2021-2040,1.07
TaiESM1,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2021-2040,1.62
UKESM1-0-LL,r1i1p1f2,ssp126,global_mean,Amon,gn,tas,2021-2040,1.81
ACCESS-CM2,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2041-2060,2.23
ACCESS-ESM1-5,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2041-2060,1.77
AWI-CM-1-1-MR,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2041-2060,2.01
BCC-CSM2-MR,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2041-2060,1.64
CAMS-CSM1-0,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2041-2060,1.22
CESM2-WACCM,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2041-2060,2.22
CESM2,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2041-2060,2.15
CIESM,r1i1p1f1,ssp126,global_mean,Amon,gr,tas,2041-2060,2.12
CMCC-CM2-SR5,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2041-2060,2.42
CNRM-CM6-1-HR,r1i1p1f2,ssp126,global_mean,Amon,gr,tas,2041-2060,2.50
CNRM-CM6-1,r1i1p1f2,ssp126,global_mean,Amon,gr,tas,2041-2060,1.89
CNRM-ESM2-1,r1i1p1f2,ssp126,global_mean,Amon,gr,tas,2041-2060,1.56
CanESM5-CanOE,r1i1p2f1,ssp126,global_mean,Amon,gn,tas,2041-2060,2.78
CanESM5,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2041-2060,2.72
EC-Earth3-Veg-LR,r1i1p1f1,ssp126,global_mean,Amon,gr,tas,2041-2060,1.83
EC-Earth3-Veg,r1i1p1f1,ssp126,global_mean,Amon,gr,tas,2041-2060,2.21
EC-Earth3,r1i1p1f1,ssp126,global_mean,Amon,gr,tas,2041-2060,2.04
FGOALS-f3-L,r1i1p1f1,ssp126,global_mean,Amon,gr,tas,2041-2060,1.96
FGOALS-g3,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2041-2060,1.40
FIO-ESM-2-0,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2041-2060,2.23
GFDL-ESM4,r1i1p1f1,ssp126,global_mean,Amon,gr1,tas,2041-2060,1.40
GISS-E2-1-G,r1i1p1f2,ssp126,global_mean,Amon,gn,tas,2041-2060,2.30
HadGEM3-GC31-LL,r1i1p1f3,ssp126,global_mean,Amon,gn,tas,2041-2060,2.27
HadGEM3-GC31-MM,r1i1p1f3,ssp126,global_mean,Amon,gn,tas,2041-2060,2.28
IITM-ESM,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2041-2060,1.57
INM-CM4-8,r1i1p1f1,ssp126,global_mean,Amon,gr1,tas,2041-2060,1.50
INM-CM5-0,r1i1p1f1,ssp126,global_mean,Amon,gr1,tas,2041-2060,1.54
IPSL-CM6A-LR,r1i1p1f1,ssp126,global_mean,Amon,gr,tas,2041-2060,2.23
KACE-1-0-G,r1i1p1f1,ssp126,global_mean,Amon,gr,tas,2041-2060,2.75
KIOST-ESM,r1i1p1f1,ssp126,global_mean,Amon,gr1,tas,2041-2060,1.86
MCM-UA-1-0,r1i1p1f2,ssp126,global_mean,Amon,gn,tas,2041-2060,1.94
MIROC6,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2041-2060,1.41
MIROC-ES2L,r1i1p1f2,ssp126,global_mean,Amon,gn,tas,2041-2060,1.63
MPI-ESM1-2-HR,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2041-2060,1.58
MPI-ESM1-2-LR,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2041-2060,1.60
MRI-ESM2-0,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2041-2060,1.79
NESM3,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2041-2060,2.01
NorESM2-LM,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2041-2060,1.21
NorESM2-MM,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2041-2060,1.31
TaiESM1,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2041-2060,2.31
UKESM1-0-LL,r1i1p1f2,ssp126,global_mean,Amon,gn,tas,2041-2060,2.38
ACCESS-CM2,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2081-2100,2.51
ACCESS-ESM1-5,r1i1p1f1,ssp126,global_mean,Amon,gn,tas,2081-2100,2.02
