#Covars (covariate phase for each covs - do not alter this line)
# fracbelow2 # largeZoop_integrated # pH_depthavg # temp_bottom5m # temp_surface5m # fracbelow2_Winter # largeZoop_integrated_Winter # pH_depthavg_Winter # temp_bottom5m_Winter # temp_surface5m_Winter # fracbelow2_Spring # largeZoop_integrated_Spring # pH_depthavg_Spring # temp_bottom5m_Spring # temp_surface5m_Spring # fracbelow2_Summer # largeZoop_integrated_Summer # pH_depthavg_Summer # temp_bottom5m_Summer # temp_surface5m_Summer # fracbelow2_Fall # largeZoop_integrated_Fall # pH_depthavg_Fall # temp_bottom5m_Fall # temp_surface5m_Fall
#nspp2 : 

#nTyrs : number years for the zooplankton hindcast data 
41
#hind_years : years for covariates 
1979 1980 1981 1982 1983 1984 1985 1986 1987 1988 1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 2015 2016 2017 2018 2019
#ncov : number of covariates 
25
#nEatcovs : DEFUNCT 
1
#Eat_covs : DEFUNCT 
3
#COVAR_START ##############################################DO NOT REMOVE THIS LINE OR REC FIT WONT RUN!
#  temp_surface5m_Fall : temp_surface5m_Fall
1.42509 1.031797 0.9211032 0.5908556 1.029532 1.006881 0.2677804 1.134585 0.1683694 0.4328163 0.1341819 -0.2083688 0.5838662 -1.185163 1.526954 -0.5780971 -0.3400757 0.02568688 -0.5611547 -0.7477248 -2.009932 0.6775534 -1.317486 1.362649 1.533675 0.1033456 -0.1834867 -0.1188778 -1.6595 -1.947598 -1.133566 -0.5406017 -0.647784 -3.02065 -0.1035846 1.914302 1.826079 3.154949 0.8975433 2.028545 2.734867
#COVAR_END ##########################################################DO NOT REMOVE THIS LINE OR REC FIT WONT RUN!
#  temp_bottom5m : temp_bottom5m
3.774596 3.030986 3.221809 2.797596 2.952055 2.187011 2.533995 2.28932 3.076518 2.424434 2.71844 2.504724 2.212083 1.710196 2.970466 2.403416 1.784114 2.525932 1.998719 2.665715 1.616702 2.084814 2.606529 2.457505 3.108354 2.640097 2.72089 2.003853 1.618331 1.36322 1.431062 1.696678 1.777134 1.02376 1.8426 2.898198 2.938397 3.726521 2.403782 3.194474 3.253105
#  temp_surface5m : temp_surface5m
5.717831 5.014825 5.516415 4.516872 5.330107 5.027397 4.613336 4.532274 5.004287 4.506654 4.746996 4.7418 4.600686 4.143386 5.152685 4.458653 4.354014 4.604301 4.559062 4.012675 3.569137 4.137038 4.582522 4.913315 5.503214 5.375492 5.009511 4.134732 4.015221 3.408868 3.583464 3.811068 3.657524 2.930752 3.903094 5.515231 5.326673 6.323272 4.904897 5.365144 6.062186
########################################################### 
#overlap : pred overlap (2-6/0-6 area)   
#testfile  
12345
